,result_madden_new,result_ML,For,Against
0,W,W,Buffalo Bills,Los Angeles Rams
1,W,W,New Orleans Saints,Atlanta Falcons
2,W,W,Cleveland Browns,Carolina Panthers
3,W,W,San Francisco 49ers,Chicago Bears
4,L,L,Pittsburgh Steelers,Cincinnati Bengals
5,W,W,Philadelphia Eagles,Detroit Lions
6,W,L,Indianapolis Colts,Houston Texans
7,W,W,New England Patriots,Miami Dolphins
8,L,L,Baltimore Ravens,New York Jets
9,L,W,Jacksonville Jaguars,Washington Commanders
10,W,L,Kansas City Chiefs,Arizona Cardinals
11,L,L,Green Bay Packers,Minnesota Vikings
12,L,L,New York Giants,Tennessee Titans
13,L,W,Las Vegas Raiders,Los Angeles Chargers
14,L,L,Tampa Bay Buccaneers,Dallas Cowboys
15,L,W,Denver Broncos,Seattle Seahawks
16,W,W,Los Angeles Chargers,Kansas City Chiefs
17,L,L,New York Jets,Cleveland Browns
18,L,L,Washington Commanders,Detroit Lions
19,W,L,Indianapolis Colts,Jacksonville Jaguars
20,W,W,Tampa Bay Buccaneers,New Orleans Saints
21,W,L,Carolina Panthers,New York Giants
22,W,W,New England Patriots,Pittsburgh Steelers
23,L,W,Miami Dolphins,Baltimore Ravens
24,L,L,Atlanta Falcons,Los Angeles Rams
25,L,L,Seattle Seahawks,San Francisco 49ers
26,L,L,Cincinnati Bengals,Dallas Cowboys
27,W,W,Houston Texans,Denver Broncos
28,L,L,Arizona Cardinals,Las Vegas Raiders
29,L,L,Chicago Bears,Green Bay Packers
30,L,L,Tennessee Titans,Buffalo Bills
31,W,L,Minnesota Vikings,Philadelphia Eagles
32,L,L,Pittsburgh Steelers,Cleveland Browns
33,W,W,New Orleans Saints,Carolina Panthers
34,W,W,Houston Texans,Chicago Bears
35,W,W,Kansas City Chiefs,Indianapolis Colts
36,W,W,Buffalo Bills,Miami Dolphins
37,L,L,Detroit Lions,Minnesota Vikings
38,L,L,Baltimore Ravens,New England Patriots
39,W,L,Cincinnati Bengals,New York Jets
40,W,W,Las Vegas Raiders,Tennessee Titans
41,W,W,Philadelphia Eagles,Washington Commanders
42,L,L,Jacksonville Jaguars,Los Angeles Chargers
43,W,W,Los Angeles Rams,Arizona Cardinals
44,L,L,Atlanta Falcons,Seattle Seahawks
45,W,L,Green Bay Packers,Tampa Bay Buccaneers
46,W,W,San Francisco 49ers,Denver Broncos
47,W,W,Dallas Cowboys,New York Giants
48,L,L,Miami Dolphins,Cincinnati Bengals
49,W,W,Minnesota Vikings,New Orleans Saints
50,W,W,Cleveland Browns,Atlanta Falcons
51,L,W,Tennessee Titans,Indianapolis Colts
52,L,L,Washington Commanders,Dallas Cowboys
53,L,L,Seattle Seahawks,Detroit Lions
54,W,W,Los Angeles Chargers,Houston Texans
55,W,L,Chicago Bears,New York Giants
56,L,L,Jacksonville Jaguars,Philadelphia Eagles
57,L,W,New York Jets,Pittsburgh Steelers
58,W,W,Buffalo Bills,Baltimore Ravens
59,W,W,Arizona Cardinals,Carolina Panthers
60,L,L,New England Patriots,Green Bay Packers
61,L,L,Denver Broncos,Las Vegas Raiders
62,L,L,Kansas City Chiefs,Tampa Bay Buccaneers
63,W,W,Los Angeles Rams,San Francisco 49ers
64,W,L,Indianapolis Colts,Denver Broncos
65,L,L,New York Giants,Green Bay Packers
66,L,L,Pittsburgh Steelers,Buffalo Bills
67,W,L,Los Angeles Chargers,Cleveland Browns
68,W,W,Houston Texans,Jacksonville Jaguars
69,L,L,Chicago Bears,Minnesota Vikings
70,L,L,Seattle Seahawks,New Orleans Saints
71,L,L,Detroit Lions,New England Patriots
72,L,L,Miami Dolphins,New York Jets
73,L,L,Atlanta Falcons,Tampa Bay Buccaneers
74,L,W,Tennessee Titans,Washington Commanders
75,W,W,San Francisco 49ers,Carolina Panthers
76,W,W,Philadelphia Eagles,Arizona Cardinals
77,L,L,Dallas Cowboys,Los Angeles Rams
78,W,L,Cincinnati Bengals,Baltimore Ravens
79,W,W,Las Vegas Raiders,Kansas City Chiefs
80,W,W,Washington Commanders,Chicago Bears
81,W,W,San Francisco 49ers,Atlanta Falcons
82,L,L,New England Patriots,Cleveland Browns
83,L,W,Jacksonville Jaguars,Indianapolis Colts
84,L,L,New York Jets,Green Bay Packers
85,W,W,Minnesota Vikings,Miami Dolphins
86,W,W,Cincinnati Bengals,New Orleans Saints
87,W,W,Baltimore Ravens,New York Giants
88,W,W,Tampa Bay Buccaneers,Pittsburgh Steelers
89,L,L,Carolina Panthers,Los Angeles Rams
90,W,W,Arizona Cardinals,Seattle Seahawks
91,W,W,Buffalo Bills,Kansas City Chiefs
92,L,L,Dallas Cowboys,Philadelphia Eagles
93,L,L,Denver Broncos,Los Angeles Chargers
94,L,L,New Orleans Saints,Arizona Cardinals
95,W,W,Tampa Bay Buccaneers,Carolina Panthers
96,L,L,Atlanta Falcons,Cincinnati Bengals
97,L,L,Detroit Lions,Dallas Cowboys
98,L,L,New York Giants,Jacksonville Jaguars
99,W,W,Indianapolis Colts,Tennessee Titans
100,W,W,Cleveland Browns,Baltimore Ravens
101,W,W,Green Bay Packers,Washington Commanders
102,W,W,New York Jets,Denver Broncos
103,L,L,Houston Texans,Las Vegas Raiders
104,L,L,Seattle Seahawks,Los Angeles Chargers
105,W,W,Kansas City Chiefs,San Francisco 49ers
106,W,L,Pittsburgh Steelers,Miami Dolphins
107,L,L,Chicago Bears,New England Patriots
108,L,W,Baltimore Ravens,Tampa Bay Buccaneers
109,L,L,Denver Broncos,Jacksonville Jaguars
110,L,W,Carolina Panthers,Atlanta Falcons
111,L,L,Chicago Bears,Dallas Cowboys
112,L,L,Miami Dolphins,Detroit Lions
113,L,L,Arizona Cardinals,Minnesota Vikings
114,W,W,Las Vegas Raiders,New Orleans Saints
115,W,W,New England Patriots,New York Jets
116,L,L,Pittsburgh Steelers,Philadelphia Eagles
117,L,L,Tennessee Titans,Houston Texans
118,W,L,Washington Commanders,Indianapolis Colts
119,L,L,San Francisco 49ers,Los Angeles Rams
120,L,L,New York Giants,Seattle Seahawks
121,L,L,Green Bay Packers,Buffalo Bills
122,L,L,Cincinnati Bengals,Cleveland Browns
123,W,W,Philadelphia Eagles,Houston Texans
124,W,W,Los Angeles Chargers,Atlanta Falcons
125,W,W,Miami Dolphins,Chicago Bears
126,L,L,Carolina Panthers,Cincinnati Bengals
127,W,W,Green Bay Packers,Detroit Lions
128,W,W,Las Vegas Raiders,Jacksonville Jaguars
129,L,W,Indianapolis Colts,New England Patriots
130,W,W,Buffalo Bills,New York Jets
131,W,W,Minnesota Vikings,Washington Commanders
132,L,L,Seattle Seahawks,Arizona Cardinals
133,W,W,Los Angeles Rams,Tampa Bay Buccaneers
134,L,W,Tennessee Titans,Kansas City Chiefs
135,L,L,Baltimore Ravens,New Orleans Saints
136,W,L,Atlanta Falcons,Carolina Panthers
137,L,L,Seattle Seahawks,Tampa Bay Buccaneers
138,L,L,Minnesota Vikings,Buffalo Bills
139,W,W,Detroit Lions,Chicago Bears
140,L,W,Jacksonville Jaguars,Kansas City Chiefs
141,W,W,Cleveland Browns,Miami Dolphins
142,W,W,Houston Texans,New York Giants
143,L,L,Denver Broncos,Tennessee Titans
144,L,L,New Orleans Saints,Pittsburgh Steelers
145,L,L,Indianapolis Colts,Las Vegas Raiders
146,W,L,Dallas Cowboys,Green Bay Packers
147,L,L,Arizona Cardinals,Los Angeles Rams
148,W,W,Los Angeles Chargers,San Francisco 49ers
149,L,L,Washington Commanders,Philadelphia Eagles
150,L,L,Tennessee Titans,Green Bay Packers
151,L,W,Chicago Bears,Atlanta Falcons
152,L,L,Cleveland Browns,Buffalo Bills
153,W,W,Philadelphia Eagles,Indianapolis Colts
154,W,L,Washington Commanders,Houston Texans
155,W,W,Los Angeles Rams,New Orleans Saints
156,L,W,New York Jets,New England Patriots
157,W,W,Detroit Lions,New York Giants
158,L,L,Carolina Panthers,Baltimore Ravens
159,W,W,Las Vegas Raiders,Denver Broncos
160,L,L,Dallas Cowboys,Minnesota Vikings
161,L,L,Kansas City Chiefs,Los Angeles Chargers
162,W,W,Cincinnati Bengals,Pittsburgh Steelers
163,L,L,San Francisco 49ers,Arizona Cardinals
164,W,W,Buffalo Bills,Detroit Lions
165,L,L,New York Giants,Dallas Cowboys
166,L,L,New England Patriots,Minnesota Vikings
167,W,W,Denver Broncos,Carolina Panthers
168,L,L,Tampa Bay Buccaneers,Cleveland Browns
169,W,L,Baltimore Ravens,Jacksonville Jaguars
170,W,W,Houston Texans,Miami Dolphins
171,L,L,Chicago Bears,New York Jets
172,W,W,Cincinnati Bengals,Tennessee Titans
173,L,L,Atlanta Falcons,Washington Commanders
174,W,W,Los Angeles Chargers,Arizona Cardinals
175,W,W,Las Vegas Raiders,Seattle Seahawks
176,W,W,Los Angeles Rams,Kansas City Chiefs
177,L,L,New Orleans Saints,San Francisco 49ers
178,L,L,Green Bay Packers,Philadelphia Eagles
179,L,W,Pittsburgh Steelers,Indianapolis Colts
180,W,W,Buffalo Bills,New England Patriots
181,W,L,Pittsburgh Steelers,Atlanta Falcons
182,W,W,Green Bay Packers,Chicago Bears
183,L,W,Jacksonville Jaguars,Detroit Lions
184,W,W,Cleveland Browns,Houston Texans
185,L,L,New York Jets,Minnesota Vikings
186,W,W,Washington Commanders,New York Giants
187,L,L,Tennessee Titans,Philadelphia Eagles
188,L,L,Denver Broncos,Baltimore Ravens
189,L,L,Seattle Seahawks,Los Angeles Rams
190,L,L,Miami Dolphins,San Francisco 49ers
191,L,L,Kansas City Chiefs,Cincinnati Bengals
192,W,L,Los Angeles Chargers,Las Vegas Raiders
193,L,W,Indianapolis Colts,Dallas Cowboys
194,L,L,New Orleans Saints,Tampa Bay Buccaneers
195,L,L,Las Vegas Raiders,Los Angeles Rams
196,L,L,New York Jets,Buffalo Bills
197,W,W,Cleveland Browns,Cincinnati Bengals
198,L,L,Houston Texans,Dallas Cowboys
199,W,W,Minnesota Vikings,Detroit Lions
200,W,W,Philadelphia Eagles,New York Giants
201,L,W,Jacksonville Jaguars,Tennessee Titans
202,L,W,Baltimore Ravens,Pittsburgh Steelers
203,L,L,Miami Dolphins,Los Angeles Chargers
204,L,L,Carolina Panthers,Seattle Seahawks
205,W,L,Tampa Bay Buccaneers,San Francisco 49ers
206,W,W,Kansas City Chiefs,Denver Broncos
207,W,L,New England Patriots,Arizona Cardinals
208,W,W,San Francisco 49ers,Seattle Seahawks
209,L,L,Miami Dolphins,Buffalo Bills
210,W,W,Pittsburgh Steelers,Carolina Panthers
211,W,W,Philadelphia Eagles,Chicago Bears
212,L,L,Baltimore Ravens,Cleveland Browns
213,W,L,Kansas City Chiefs,Houston Texans
214,W,W,Dallas Cowboys,Jacksonville Jaguars
215,L,L,Indianapolis Colts,Minnesota Vikings
216,L,L,Atlanta Falcons,New Orleans Saints
217,W,L,Detroit Lions,New York Jets
218,L,L,New York Giants,Washington Commanders
219,W,W,Arizona Cardinals,Denver Broncos
220,L,L,Tennessee Titans,Los Angeles Chargers
221,L,W,Cincinnati Bengals,Tampa Bay Buccaneers
222,L,L,New England Patriots,Las Vegas Raiders
223,W,W,Los Angeles Rams,Green Bay Packers
224,L,W,Jacksonville Jaguars,New York Jets
225,W,W,Detroit Lions,Carolina Panthers
226,W,W,Buffalo Bills,Chicago Bears
227,L,L,New Orleans Saints,Cleveland Browns
228,L,W,Seattle Seahawks,Kansas City Chiefs
229,L,L,New York Giants,Minnesota Vikings
230,W,L,Cincinnati Bengals,New England Patriots
231,W,W,Houston Texans,Tennessee Titans
232,L,L,Atlanta Falcons,Baltimore Ravens
233,L,L,Washington Commanders,San Francisco 49ers
234,W,W,Philadelphia Eagles,Dallas Cowboys
235,W,W,Las Vegas Raiders,Pittsburgh Steelers
236,W,L,Green Bay Packers,Miami Dolphins
237,L,L,Denver Broncos,Los Angeles Rams
238,W,L,Tampa Bay Buccaneers,Arizona Cardinals
239,W,W,Los Angeles Chargers,Indianapolis Colts
240,W,W,Dallas Cowboys,Tennessee Titans
241,W,W,Arizona Cardinals,Atlanta Falcons
242,L,L,Chicago Bears,Detroit Lions
243,L,L,Jacksonville Jaguars,Houston Texans
244,L,L,Denver Broncos,Kansas City Chiefs
245,L,L,Miami Dolphins,New England Patriots
246,W,W,Indianapolis Colts,New York Giants
247,L,L,New Orleans Saints,Philadelphia Eagles
248,L,L,Pittsburgh Steelers,Baltimore Ravens
249,L,L,Carolina Panthers,Tampa Bay Buccaneers
250,W,W,Cleveland Browns,Washington Commanders
251,L,L,San Francisco 49ers,Las Vegas Raiders
252,W,W,New York Jets,Seattle Seahawks
253,W,W,Minnesota Vikings,Green Bay Packers
254,L,W,Los Angeles Rams,Los Angeles Chargers
255,W,W,Buffalo Bills,Cincinnati Bengals
256,W,W,Tampa Bay Buccaneers,Atlanta Falcons
257,L,L,New England Patriots,Buffalo Bills
258,W,W,Minnesota Vikings,Chicago Bears
259,L,W,Baltimore Ravens,Cincinnati Bengals
260,L,W,Houston Texans,Indianapolis Colts
261,W,W,Los Angeles Chargers,Denver Broncos
262,L,L,Detroit Lions,Green Bay Packers
263,W,L,Tennessee Titans,Jacksonville Jaguars
264,W,W,New York Jets,Miami Dolphins
265,L,L,Carolina Panthers,New Orleans Saints
266,L,L,New York Giants,Philadelphia Eagles
267,W,W,Cleveland Browns,Pittsburgh Steelers
268,L,L,Kansas City Chiefs,Las Vegas Raiders
269,W,W,Los Angeles Rams,Seattle Seahawks
270,W,W,Arizona Cardinals,San Francisco 49ers
271,W,W,Dallas Cowboys,Washington Commanders
