,result_madden_new,result_ML,For,Against,Madden_vs_ML
0,W,W,Buffalo Bills,Los Angeles Rams,Same
1,W,W,New Orleans Saints,Atlanta Falcons,Same
2,W,W,Cleveland Browns,Carolina Panthers,Same
3,W,W,San Francisco 49ers,Chicago Bears,Same
4,L,L,Pittsburgh Steelers,Cincinnati Bengals,Same
5,W,W,Philadelphia Eagles,Detroit Lions,Same
6,W,L,Indianapolis Colts,Houston Texans,DifferentWL
7,W,W,New England Patriots,Miami Dolphins,Same
8,L,L,Baltimore Ravens,New York Jets,Same
9,L,W,Jacksonville Jaguars,Washington Commanders,DifferentLW
10,W,L,Kansas City Chiefs,Arizona Cardinals,DifferentWL
11,L,L,Green Bay Packers,Minnesota Vikings,Same
12,L,L,New York Giants,Tennessee Titans,Same
13,L,W,Las Vegas Raiders,Los Angeles Chargers,DifferentLW
14,L,L,Tampa Bay Buccaneers,Dallas Cowboys,Same
15,L,W,Denver Broncos,Seattle Seahawks,DifferentLW
16,W,W,Los Angeles Chargers,Kansas City Chiefs,Same
17,L,L,New York Jets,Cleveland Browns,Same
18,L,L,Washington Commanders,Detroit Lions,Same
19,W,L,Indianapolis Colts,Jacksonville Jaguars,DifferentWL
20,W,W,Tampa Bay Buccaneers,New Orleans Saints,Same
21,W,L,Carolina Panthers,New York Giants,DifferentWL
22,W,W,New England Patriots,Pittsburgh Steelers,Same
23,L,W,Miami Dolphins,Baltimore Ravens,DifferentLW
24,L,L,Atlanta Falcons,Los Angeles Rams,Same
25,L,L,Seattle Seahawks,San Francisco 49ers,Same
26,L,L,Cincinnati Bengals,Dallas Cowboys,Same
27,W,W,Houston Texans,Denver Broncos,Same
28,L,L,Arizona Cardinals,Las Vegas Raiders,Same
29,L,L,Chicago Bears,Green Bay Packers,Same
30,L,L,Tennessee Titans,Buffalo Bills,Same
31,W,L,Minnesota Vikings,Philadelphia Eagles,DifferentWL
32,L,L,Pittsburgh Steelers,Cleveland Browns,Same
33,W,W,New Orleans Saints,Carolina Panthers,Same
34,W,W,Houston Texans,Chicago Bears,Same
35,W,W,Kansas City Chiefs,Indianapolis Colts,Same
36,W,W,Buffalo Bills,Miami Dolphins,Same
37,L,L,Detroit Lions,Minnesota Vikings,Same
38,L,L,Baltimore Ravens,New England Patriots,Same
39,W,L,Cincinnati Bengals,New York Jets,DifferentWL
40,W,W,Las Vegas Raiders,Tennessee Titans,Same
41,W,W,Philadelphia Eagles,Washington Commanders,Same
42,L,L,Jacksonville Jaguars,Los Angeles Chargers,Same
43,W,W,Los Angeles Rams,Arizona Cardinals,Same
44,L,L,Atlanta Falcons,Seattle Seahawks,Same
45,W,L,Green Bay Packers,Tampa Bay Buccaneers,DifferentWL
46,W,W,San Francisco 49ers,Denver Broncos,Same
47,W,W,Dallas Cowboys,New York Giants,Same
48,L,L,Miami Dolphins,Cincinnati Bengals,Same
49,W,W,Minnesota Vikings,New Orleans Saints,Same
50,W,W,Cleveland Browns,Atlanta Falcons,Same
51,L,W,Tennessee Titans,Indianapolis Colts,DifferentLW
52,L,L,Washington Commanders,Dallas Cowboys,Same
53,L,L,Seattle Seahawks,Detroit Lions,Same
54,W,W,Los Angeles Chargers,Houston Texans,Same
55,W,L,Chicago Bears,New York Giants,DifferentWL
56,L,L,Jacksonville Jaguars,Philadelphia Eagles,Same
57,L,W,New York Jets,Pittsburgh Steelers,DifferentLW
58,W,W,Buffalo Bills,Baltimore Ravens,Same
59,W,W,Arizona Cardinals,Carolina Panthers,Same
60,L,L,New England Patriots,Green Bay Packers,Same
61,L,L,Denver Broncos,Las Vegas Raiders,Same
62,L,L,Kansas City Chiefs,Tampa Bay Buccaneers,Same
63,W,W,Los Angeles Rams,San Francisco 49ers,Same
64,W,L,Indianapolis Colts,Denver Broncos,DifferentWL
65,L,L,New York Giants,Green Bay Packers,Same
66,L,L,Pittsburgh Steelers,Buffalo Bills,Same
67,W,L,Los Angeles Chargers,Cleveland Browns,DifferentWL
68,W,W,Houston Texans,Jacksonville Jaguars,Same
69,L,L,Chicago Bears,Minnesota Vikings,Same
70,L,L,Seattle Seahawks,New Orleans Saints,Same
71,L,L,Detroit Lions,New England Patriots,Same
72,L,L,Miami Dolphins,New York Jets,Same
73,L,L,Atlanta Falcons,Tampa Bay Buccaneers,Same
74,L,W,Tennessee Titans,Washington Commanders,DifferentLW
75,W,W,San Francisco 49ers,Carolina Panthers,Same
76,W,W,Philadelphia Eagles,Arizona Cardinals,Same
77,L,L,Dallas Cowboys,Los Angeles Rams,Same
78,W,L,Cincinnati Bengals,Baltimore Ravens,DifferentWL
79,W,W,Las Vegas Raiders,Kansas City Chiefs,Same
80,W,W,Washington Commanders,Chicago Bears,Same
81,W,W,San Francisco 49ers,Atlanta Falcons,Same
82,L,L,New England Patriots,Cleveland Browns,Same
83,L,W,Jacksonville Jaguars,Indianapolis Colts,DifferentLW
84,L,L,New York Jets,Green Bay Packers,Same
85,W,W,Minnesota Vikings,Miami Dolphins,Same
86,W,W,Cincinnati Bengals,New Orleans Saints,Same
87,W,W,Baltimore Ravens,New York Giants,Same
88,W,W,Tampa Bay Buccaneers,Pittsburgh Steelers,Same
89,L,L,Carolina Panthers,Los Angeles Rams,Same
90,W,W,Arizona Cardinals,Seattle Seahawks,Same
91,W,W,Buffalo Bills,Kansas City Chiefs,Same
92,L,L,Dallas Cowboys,Philadelphia Eagles,Same
