"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BUF","-0.120","40.2%","-0.128","42.1%","-0.106","37.2%"
"2","","NO","-0.094","40.3%","-0.064","43.8%","-0.148","34.1%"
"3","","DAL","-0.084","41.4%","-0.106","42.3%","-0.045","39.9%"
"4","","TB","-0.078","42.8%","-0.062","44.3%","-0.118","39.0%"
"5","","NE","-0.057","42.8%","-0.040","45.2%","-0.083","39.2%"
"6","","MIA","-0.035","43.2%","-0.025","44.8%","-0.052","40.4%"
"7","","ARI","-0.032","44.8%","0.024","47.9%","-0.123","39.8%"
"8","","CAR","-0.023","41.4%","0.024","44.4%","-0.085","37.4%"
"9","","CIN","-0.019","43.1%","0.015","45.1%","-0.085","39.3%"
"10","","TEN","-0.017","42.6%","0.001","43.8%","-0.053","40.3%"
"11","","LA","-0.015","44.9%","0.053","48.3%","-0.134","39.0%"
"12","","MIN","-0.013","45.6%","-0.016","47.2%","-0.006","42.8%"
"13","","PIT","-0.008","43.2%","0.007","45.5%","-0.031","39.8%"
"14","","IND","-0.006","45.5%","0.058","49.5%","-0.120","38.3%"
"15","","SF","0.004","41.2%","0.098","45.9%","-0.147","33.9%"
"16","","DEN","0.008","45.1%","0.056","46.3%","-0.073","43.1%"
"17","","PHI","0.016","46.1%","0.062","48.1%","-0.057","43.0%"
"18","","CHI","0.018","44.3%","0.053","45.8%","-0.026","42.4%"
"19","","CLE","0.020","41.8%","0.041","42.4%","-0.014","40.8%"
"20","","GB","0.025","46.4%","0.041","46.9%","-0.007","45.2%"
"21","","NYG","0.030","46.3%","0.063","48.2%","-0.019","43.5%"
"22","","SEA","0.031","46.6%","0.127","51.3%","-0.125","38.9%"
"23","","KC","0.036","46.8%","0.092","47.0%","-0.070","46.3%"
"24","","LAC","0.036","46.7%","0.065","46.3%","-0.006","47.2%"
"25","","BAL","0.061","42.9%","0.156","46.8%","-0.132","35.1%"
"26","","LV","0.062","44.6%","0.182","48.6%","-0.135","37.9%"
"27","","HOU","0.071","48.2%","0.156","52.1%","-0.037","43.2%"
"28","","WAS","0.080","45.2%","0.176","49.6%","-0.094","37.3%"
"29","","ATL","0.082","48.5%","0.175","51.3%","-0.047","44.5%"
"30","","JAX","0.109","46.8%","0.227","51.0%","-0.057","40.8%"
"31","","DET","0.112","46.6%","0.205","50.0%","-0.014","42.1%"
"32","","NYJ","0.135","47.5%","0.257","51.9%","-0.036","41.3%"
