"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","KC","0.157","51.5%","0.241","54.2%","-0.023","45.8%"
"2","","TB","0.136","49.9%","0.192","51.7%","0.022","46.2%"
"3","","GB","0.120","48.7%","0.192","50.6%","-0.002","45.6%"
"4","","BUF","0.095","47.6%","0.182","51.7%","-0.072","39.9%"
"5","","LAC","0.087","47.3%","0.180","50.5%","-0.100","40.8%"
"6","","ARI","0.075","46.5%","0.146","49.8%","-0.037","41.2%"
"7","","PHI","0.074","46.7%","0.105","45.5%","0.035","48.3%"
"8","","SF","0.069","45.2%","0.146","46.9%","-0.026","43.2%"
"9","","LA","0.062","46.3%","0.149","49.8%","-0.089","40.1%"
"10","","DAL","0.061","46.4%","0.133","49.0%","-0.065","41.7%"
"11","","NE","0.057","48.5%","0.115","50.7%","-0.019","45.7%"
"12","","IND","0.055","44.9%","0.059","45.9%","0.050","43.5%"
"13","","SEA","0.043","43.8%","0.061","45.7%","0.016","40.9%"
"14","","CIN","0.043","44.1%","0.130","48.2%","-0.100","37.4%"
"15","","DEN","0.029","45.0%","0.122","46.5%","-0.109","42.7%"
"16","","TEN","0.027","44.8%","0.106","51.0%","-0.068","37.3%"
"17","","MIN","0.022","41.6%","0.108","45.2%","-0.108","36.1%"
"18","","CLE","0.018","43.7%","0.009","44.6%","0.030","42.5%"
"19","","BAL","0.011","46.1%","0.049","47.4%","-0.054","43.8%"
"20","","LV","-0.007","45.0%","0.076","47.4%","-0.158","40.7%"
"21","","WAS","-0.028","44.7%","-0.000","45.7%","-0.072","43.2%"
"22","","MIA","-0.041","42.1%","0.034","47.1%","-0.178","33.0%"
"23","","DET","-0.050","42.3%","-0.019","45.4%","-0.100","37.4%"
"24","","NO","-0.054","41.7%","0.001","44.5%","-0.126","37.9%"
"25","","PIT","-0.055","39.9%","-0.040","41.5%","-0.083","36.8%"
"26","","JAX","-0.069","44.2%","-0.052","45.3%","-0.103","42.2%"
"27","","ATL","-0.071","41.9%","-0.024","47.2%","-0.152","32.7%"
"28","","NYJ","-0.078","41.9%","-0.071","42.8%","-0.094","40.1%"
"29","","CHI","-0.083","40.9%","-0.071","43.4%","-0.103","37.1%"
"30","","CAR","-0.124","41.0%","-0.147","40.9%","-0.086","41.2%"
"31","","HOU","-0.133","38.2%","-0.082","43.3%","-0.215","29.8%"
"32","","NYG","-0.133","40.4%","-0.151","41.0%","-0.102","39.4%"
